case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
164,0,125.3648,142,67.03098,-8379889,-7901.55,3175.73,1328.724,3119.544,0
165,0,120.3931,127,64.52817,-8381515,-5466.28,660.7915,1386.986,-6213.91,0
166,0,110.2117,117,65.20289,-8383956,-8909.42,1060.051,-2391.22,-506.138,0
167,0,116.5495,116,61.08494,-8383193,-5079.03,-862.64,2785.293,-3874.72,0
168,0,143.2723,152,58.71379,-8374887,-5500.8,494.7931,867.3396,-1209.92,0
169,12,143.8827,157,75.95524,-8373787,-625.14,8126.753,-1842.93,-4812,0
170,0,119.1137,127,51.67922,-8382454,-5773.35,-602.724,-302.572,580.1542,0
171,0,120.6626,132,65.26782,-8381181,-7029.42,-432.895,886.7677,-378.858,0
172,0,127.8195,137,57.93785,-8379859,-7323.23,-2288.19,-501.203,1791.917,0
173,0,129.7403,141,60.06604,-8378640,-2995.86,-27.5729,-1880.84,-5051.37,0
174,0,96.19985,100,49.64572,-8389481,-5517.43,1478.643,991.4741,-1256.39,0
175,0,121.6052,131,59.34695,-8381042,-6803.67,-1792.03,-1635.33,-2567.34,0
176,0,112.5394,114,61.73915,-8383803,-7885.4,-1602.16,-771.595,-245.677,0
177,0,120.7976,137,60.20749,-8381914,-8889.35,1737.791,3369.867,4238.338,0
178,0,132.0263,145,64.70181,-8378031,-9968.69,-614.156,314.9073,1693.408,0
179,0,115.3158,127,68.45094,-8382658,-9772.96,3393.135,1871.678,-531.964,0
180,0,155.0069,165,59.315,-8372114,-3085.78,-1964.99,2848.251,-4088.09,0
181,0,133.7062,141,59.76221,-8377724,-7131.49,859.9235,437.2565,-588.812,0
182,0,112.8509,119,63.25527,-8383629,-6272.69,1098.613,-3536.28,191.7687,0
183,0,129.5671,134,58.63732,-8379054,-5788.99,-2948.02,-2888.45,2698.52,0
184,0,130.0397,143,67.26953,-8378036,-4348.21,6453.187,-1889.19,-2035.86,0
185,0,116.369,125,65.21139,-8382348,-5002.98,-613.668,-4233.56,-5915.49,0
186,0,119.4729,129,58.664,-8382064,-2568.1,32.73989,-5102.1,-839.695,0
187,8,132.8082,138,67.03234,-8377327,-3010.42,2628.914,-3151.16,-5473.71,0
188,0,128.729,142,58.1236,-8379389,-7626.04,1550.537,2213.137,2711.206,0
189,0,118.2646,122,56.65763,-8382229,-5568.14,881.8655,1825.733,-1712.79,0
190,0,132.3033,141,61.98917,-8377718,-5749.36,2934.356,-1701.04,2077.987,0
191,0,140.0967,156,63.16431,-8376033,-9602.88,1775.026,2218.712,3099.501,0
192,0,115.9713,124,62.60445,-8382869,-5601.38,-4791.11,-1716.3,-5236.71,0
193,0,110.515,123,60.48282,-8384499,-7523.88,374.3517,-2738.85,-1559.24,0
194,0,122.5228,133,60.80535,-8380854,-8131.94,-368.594,19.25542,-903.059,0
195,0,122.6374,134,55.98722,-8381819,-7669.17,-1209.2,3362.095,2441.421,0
196,28,130.2382,136,57.03301,-8378705,-264.052,3746.175,-1786.05,-1987.74,0
197,0,111.3692,125,68.29803,-8383858,-10879.5,1475.033,-75.9225,3696.264,0
198,0,128.258,135,58.93504,-8379951,-4999.97,-4780.61,3347.235,-4405.61,0
199,0,113.3344,118,62.21748,-8383147,-7961.56,-1490,-2491.32,16.81267,0
200,0,126.9317,135,58.38849,-8379608,-6123.71,-1501.28,-1767.85,605.0961,0
