case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
140,0,123.82,136,65.392,-8.17E+06,9548.5,2181.8,2560.9,-5347.4,0
141,0,127.49,137,59.933,-8.17E+06,6264.6,1173,3657.5,556.38,0
142,0,116.75,123,63.251,-8.17E+06,8963.1,-1019.6,1551.7,-1232.2,0
143,0,116.82,130,49.985,-8.18E+06,6718.3,980.73,-1119.1,-1001.6,0
144,0,99.808,108,59.212,-8.18E+06,6728.1,-2339.8,3076.5,-45.067,0
145,0,96.061,104,64.465,-8.18E+06,10324,1350.5,-633.58,-4457.5,0
146,0,97.988,105,55.33,-8.18E+06,6830.9,-2922.6,1544,-505.36,0
147,0,117.95,130,62.559,-8.17E+06,9555.5,-97.559,163.06,-1129.8,0
148,0,113.66,119,52.182,-8.18E+06,4191.1,2327.4,1140.6,-1135.1,0
149,0,129.87,139,59.765,-8.17E+06,6942.6,-2225.2,-1389.5,1518.6,0
150,0,96.048,103,58.609,-8.18E+06,6153.2,-3178.8,-1538.8,-359.18,0
151,0,119.12,126,59.721,-8.17E+06,7492.6,788.27,1299.7,-3143.6,0
152,0,121.9,132,58.262,-8.17E+06,8511.6,-49.035,-1882.9,-449.87,0
153,0,117.74,132,57.996,-8.17E+06,7849,373.62,-1174.6,-711.09,0
154,0,125.16,135,56.609,-8.17E+06,6624.1,2347.8,-2125.1,1060.7,0
155,0,119.44,124,51.72,-8.17E+06,1836.8,2373.6,-1009,282.96,0
156,0,121.19,133,61.939,-8.17E+06,7015.6,1298.3,-5362.7,284.86,0
157,0,123.17,131,54.476,-8.17E+06,4230.4,3034.3,-2682.1,-1031,0
158,0,85.339,79,62.13,-8.18E+06,-461.5,-1943.8,2204.2,6066.9,0
159,0,135.22,145,61.087,-8.17E+06,-8297.4,-4735.3,4548.4,1324.6,0
160,0,101.55,101,66.775,-8.18E+06,8220.7,-4189.5,347.71,2639.7,0
161,0,113.04,123,57.493,-8.18E+06,6968.9,-1077.1,-2898.4,-1110.7,0
162,0,125.72,131,60.774,-8.17E+06,6314.2,2623,1090.4,1661.7,0
163,0,134.65,144,59.028,-8.17E+06,3718.5,2362,-3459.6,4034.7,0
164,0,138.02,150,56.253,-8.17E+06,5908.9,-1157.1,-2499.5,174,0
165,0,124.24,130,52.278,-8.17E+06,1106.4,-535.67,-1568.6,422.77,0
166,0,108.53,120,66.83,-8.18E+06,7811.4,6398,3777.3,1196.7,0
167,0,86.739,91,70.869,-8.18E+06,2741.4,-3857.6,1130.4,1672.9,0
168,0,120.26,133,64.722,-8.17E+06,5948.9,-2224,-2474.2,3646.5,0
169,0,113.39,119,56.19,-8.18E+06,7339.5,4970.4,804.37,479.74,0
170,0,132.41,144,54.144,-8.17E+06,6451.2,1619.1,-1438.7,-1408.3,0
171,0,96.256,110,56.406,-8.18E+06,9048.1,-887.8,-674.34,-2266.6,0
172,0,118.65,138,69.911,-8.17E+06,10671,1168,796.02,-7615.2,0
173,0,114.34,133,63.085,-8.18E+06,9859.3,380.83,-2355.8,-4963.2,0
174,0,99.743,109,50.812,-8.18E+06,2678.2,1206.3,3857.1,3945.3,0
175,0,120.16,130,66.101,-8.17E+06,6736.9,-888.17,2470.6,3906.7,0
176,0,135.02,140,55.744,-8.17E+06,4853.3,1115.1,103.48,863.24,0
177,0,131.9,142,61.523,-8.17E+06,3003.2,3937.8,3848,2314.2,0
178,0,106.02,116,63.107,-8.18E+06,8709.4,-1598.2,-1419.7,-1688.9,0
179,0,117.06,132,64.574,-8.17E+06,9644.4,3571.3,2427.9,-5926.1,0
180,0,135.7,148,56.057,-8.17E+06,4206.6,1172.9,1202.9,2981.6,0
181,0,90.762,96,47.945,-8.18E+06,5764.1,-1056.1,1710.1,-1005.8,0
182,0,106.46,111,65.23,-8.18E+06,9333,-853.46,1115.6,-97.732,0
183,0,115.09,123,67.191,-8.17E+06,10160,1370.1,357.33,2208.9,0
184,0,128.04,139,61.529,-8.17E+06,6623.5,725.67,-4296.1,214.02,0
185,0,130.78,143,64.947,-8.17E+06,7199.5,898.79,1070.7,-3633.3,0
186,103,125.35,124,44.161,-8.17E+06,-213.01,4152.2,-2282.2,1093.3,0
187,0,132.33,145,64.583,-8.17E+06,6041.2,3681.7,2285.2,6150.1,0
188,0,116.06,125,59.522,-8.17E+06,6012.1,3452.7,-1893.6,3748,0
189,0,131.7,142,57.416,-8.17E+06,1072,2222.7,1249,2948.7,0
190,0,124.89,137,65.684,-8.17E+06,8437.5,-1710.9,-2882.4,-128.65,0
191,0,136.54,143,52.39,-8.17E+06,1595.8,3054.8,-2040.3,2383.9,0
192,0,116.39,127,51.087,-8.17E+06,5282.3,-1309.9,-2089.5,1337.1,0
193,0,112.18,123,64.615,-8.18E+06,9747.9,-611.58,558.88,1235.7,0
194,0,103.34,109,61.897,-8.18E+06,9289.7,31.359,-1906.2,-1604.8,0
195,0,92.858,97,62.44,-8.18E+06,9877.9,-293.84,-1247,-967.47,0
196,0,134.7,143,63.199,-8.17E+06,6385.6,970.44,1103.6,2546.6,0
197,0,122.96,127,66.597,-8.17E+06,6660.4,-752.08,4816.4,-1314.2,0
198,0,130.73,140,56.269,-8.17E+06,5282.4,3614.5,-879.67,-1003.2,0
199,13,137.43,149,71.322,-8.17E+06,5709.1,1019.2,2214.2,5454,0
200,0,124.84,133,63.673,-8.17E+06,3178.9,-2670.4,4697.9,1360.7,0
